name;id;platform5;platform6;platform7;platform10;spikes;catcher;evilBlock;evilSaw

Xavier;1;1;1;1;0;0;0;1;0

Xavier;2;1;1;1;3;0;0;0;1

Xavier;3;0;2;1;0;0;1;0;0

Xavier;4;3;1;1;0;0;0;1;0

Xavier;5;3;1;0;1;0;1;0;0

Xavier;6;1;1;0;2;0;1;0;0

Xavier;7;0;1;1;2;0;1;0;0

Xavier;8;1;2;0;1;0;1;0;0

Xavier;9;0;2;3;3;0;1;0;0

Xavier;10;1;1;1;1;0;1;0;0

Xavier;11;4;1;2;2;0;1;0;0

Xavier;12;0;2;0;3;0;1;0;0

Xavier;13;3;2;2;1;0;1;0;0

Xavier;14;2;1;4;0;0;1;0;0

Xavier;15;1;1;3;1;0;1;0;0

Xavier;16;3;1;2;2;0;1;0;0

